,Unnamed: 0,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,value1,peaks_min,peaks_max,ema,ema_slow,sell,buy,moving_avg,trend_change,TriggerSell,TriggerBuy
22,13,202409180700,1.11205,1.11173,1.112,1.1118700000000001,1498,m5,1,,,1.111988393313196,1.1120772541227946,0,1,1.1119300000000003,0,0,0
23,3,202409180700,1.11276,1.11173,1.11237,1.1118700000000001,6592,m30,1,,,1.1121131212871287,1.1120962475209917,0,1,1.1120100000000002,0,0,0
24,14,202409180705,1.1122100000000001,1.11188,1.1120299999999999,1.112,892,m5,1,,,1.1119963503577233,1.1120731473623822,0,1,1.1120520000000003,0,0,0
25,15,202409180710,1.11229,1.1119,1.11199,1.1120299999999999,901,m5,1,,,1.1119951472284937,1.1120662501374643,0,1,1.1120760000000005,0,0,0
26,16,202409180715,1.11253,1.11196,1.11253,1.11199,1068,m5,1,,,1.1120957112895888,1.1121031070529828,0,1,1.1121840000000003,0,0,0
27,6,202409180715,1.11276,1.11196,1.11237,1.11199,3301,m15,1,,,1.112080891139825,1.1120728412300338,0,1,1.1122580000000002,0,0,0
28,17,202409180720,1.11276,1.11248,1.11275,1.11253,1128,m5,1,,,1.112217973442761,1.1121525296588963,0,1,1.1123340000000002,0,0,0
29,18,202409180725,1.11276,1.1123299999999998,1.11237,1.11275,1105,m5,1,,,1.112246238949509,1.112168548730044,0,1,1.1124020000000003,0,0,0
30,4,202409180730,1.11312,1.1122299999999998,1.11312,1.11237,5681,m30,1,,,1.1124021687810042,1.112317698874254,0,1,1.1126280000000004,0,0,0
31,19,202409180730,1.11256,1.1123299999999998,1.11249,1.11237,969,m5,1,,,1.1122913748176368,1.1121914386843896,0,1,1.1126200000000004,0,0,0
32,7,202409180730,1.11264,1.1122299999999998,1.1125200000000002,1.11237,2579,m15,1,,,1.1121807905216998,1.1121368674935606,0,1,1.1126500000000004,0,0,0
33,20,202409180735,1.11249,1.1122299999999998,1.1124,1.11249,771,m5,1,,,1.1123114212544103,1.1122058295529695,0,1,1.1125800000000003,0,0,0
34,21,202409180740,1.11264,1.1124,1.1125200000000002,1.1124,839,m5,1,,,1.1123498090597124,1.112226880518914,0,1,1.1126100000000003,0,0,0
35,22,202409180745,1.11304,1.11238,1.11304,1.1125200000000002,931,m5,1,,,1.1124765528270852,1.1122798904208056,0,1,1.112594,0,0,0
36,8,202409180745,1.11312,1.11238,1.11312,1.1125200000000002,3102,m15,1,,,1.112385129637231,1.11226437965405,0,1,1.1127200000000002,0,0,0
37,23,202409180750,1.11309,1.11278,1.11299,1.11304,989,m5,1,,,1.11257066904325,1.1123250126078694,0,1,1.1128140000000002,0,0,0
38,24,202409180755,1.11312,1.11287,1.11312,1.11299,1182,m5,1,,,1.1126712135983097,1.112374328448552,0,1,1.1129580000000003,0,0,0
39,9,202409180800,1.11323,1.11286,1.11301,1.11312,2932,m15,1,,,1.1125163875092503,1.1123530621538606,0,1,1.1130560000000003,0,0,0
40,25,202409180800,1.11317,1.11291,1.11293,1.11312,1234,m5,1,,,1.1127185221404141,1.1124080297043872,0,1,1.1130340000000003,0,0,0
41,5,202409180800,1.11331,1.11277,1.11312,1.11312,5406,m30,1,,,1.1125886143437729,1.112465136479078,0,1,1.1130340000000003,0,0,0
42,26,202409180805,1.11323,1.1129,1.1132,1.11293,878,m5,1,,1.0,1.1128064535917817,1.1124550544594851,1,-1,1.1130760000000004,1,0,0
43,27,202409180810,1.11322,1.11286,1.11301,1.1132,820,m5,1,,,1.1128435968249504,1.112487354212401,1,0,1.1130540000000004,0,0,0
44,10,202409180815,1.11331,1.11277,1.11312,1.11301,2474,m15,1,,,1.1126396979947824,1.11243754495778,0,1,1.1130760000000004,0,0,0
45,28,202409180815,1.11305,1.11277,1.11294,1.11301,831,m5,1,,,1.112861176874297,1.1125132088433172,1,0,1.1130780000000005,0,0,0
46,29,202409180820,1.11331,1.11287,1.11317,1.11294,990,m5,1,,,1.1129174632743426,1.1125500642042825,1,0,1.1130880000000005,0,0,0
47,30,202409180825,1.11327,1.11304,1.11312,1.11317,653,m5,1,,,1.1129543614750452,1.1125815142775353,1,0,1.1130720000000005,0,0,0
48,6,202409180830,1.11332,1.1129,1.11294,1.11312,4988,m30,1,,,1.1126732841714224,1.1125413801624764,0,1,1.1130580000000005,0,0,0
49,31,202409180830,1.1133,1.11306,1.1131,1.11312,1037,m5,1,,,1.1129808843403668,1.112609675617356,1,0,1.1130540000000004,0,0,0
50,11,202409180830,1.11332,1.113,1.1131,1.11312,2731,m15,1,,,1.1127316654929786,1.112505684512865,0,1,1.1130860000000005,0,0,0
51,32,202409180835,1.11332,1.113,1.11309,1.1131,893,m5,1,,,1.113000749984233,1.112635376189144,1,0,1.1130700000000004,0,0,0
52,33,202409180840,1.11317,1.113,1.1131,1.11309,801,m5,1,,,1.113018815108503,1.1126598863994672,1,0,1.1130660000000003,0,0,0
53,34,202409180845,1.1132799999999998,1.11309,1.1131,1.1131,718,m5,1,,,1.1130335891574872,1.1126827935307833,1,0,1.1130980000000004,0,0,0
54,12,202409180845,1.1132799999999998,1.1129,1.11294,1.1131,2257,m15,1,,,1.1127725551506338,1.112547684787334,0,1,1.1130660000000003,0,0,0
