,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,value1,peaks_min,peaks_max,ema30,ema50,ema100,buy,sell
266,202507041430,1.36523,1.36437,1.36446,1.3652,2305,m15,1,,,1.3650622099236844,1.3652965261838428,1.3654036678277472,0,0
267,202507041445,1.36447,1.36372,1.36426,1.36446,4316,m15,1,,,1.3650104544438424,1.365255877201203,1.3653809139955506,0,0
268,202507041500,1.36474,1.36403,1.36406,1.36426,3306,m15,1,1.0,,1.3649491348013125,1.3652089790617432,1.365354636221176,0,-1
269,202507041515,1.3643399999999999,1.3639,1.3642,1.36406,1272,m15,1,,,1.3649008035230772,1.365169410449382,1.3653316684203287,0,0
270,202507041530,1.36456,1.36407,1.36448,1.3642,1872,m15,1,,,1.364873654908301,1.36514237421635,1.3653147287181369,0,0
271,202507041545,1.36457,1.36424,1.36443,1.36448,1660,m15,1,,,1.364845032010612,1.365114437447254,1.3652971329950792,0,0
272,202507041600,1.365,1.3641699999999999,1.36484,1.36443,1742,m15,1,,,1.364844707364762,1.3651036749999819,1.365288042195377,0,0
273,202507041615,1.36498,1.36445,1.36497,1.36484,1756,m15,1,,1.0,1.3648527907606776,1.3650984327521254,1.3652817179671457,0,1
274,202507041630,1.36511,1.36457,1.36458,1.36497,1134,m15,1,,,1.364835191356572,1.3650781017168985,1.3652677655519772,0,0
275,202507041645,1.36471,1.36445,1.36468,1.36458,1150,m15,1,,,1.3648251790108852,1.3650624896347077,1.3652560798275335,0,0
276,202507041700,1.3651,1.36466,1.3649,1.36468,6820,m15,1,,,1.3648300061715188,1.3650561173940705,1.3652490009515763,0,0
277,202507041715,1.36516,1.36463,1.36493,1.3649,7045,m15,1,,,1.3648364573863168,1.3650511715407563,1.3652426596995118,0,0
278,202507041730,1.36506,1.36471,1.36488,1.36493,1830,m15,1,,,1.3648392665872227,1.36504445883592,1.3652354511295792,0,0
279,202507041745,1.36499,1.3647,1.36481,1.36488,2066,m15,1,,,1.3648373784202903,1.3650352642462253,1.3652269950912956,0,0
280,202507041800,1.3649,1.3646099999999999,1.36487,1.36481,2288,m15,1,,,1.3648394830383512,1.3650287832103727,1.3652199001698402,0,0
281,202507041815,1.36496,1.36481,1.36492,1.36487,1304,m15,1,,,1.3648446776810736,1.3650245171483537,1.3652139403822552,0,0
282,202507041830,1.36498,1.36482,1.36494,1.36492,1494,m15,1,,,1.3648508275081404,1.3650212027102424,1.365208496866672,0,0
283,202507041845,1.36544,1.36494,1.36533,1.36494,2210,m15,1,,1.0,1.3648817418626378,1.3650333125487748,1.3652109111089088,0,0
284,202507041900,1.36541,1.36492,1.36506,1.36533,7330,m15,1,,,1.364893242387693,1.3650343591271885,1.3652079127395844,0,0
285,202507041915,1.36536,1.36499,1.36508,1.36506,15516,m15,1,,,1.364905291265969,1.3650361489845613,1.365205371481044,0,0
286,202507041930,1.36532,1.36475,1.36496,1.36508,17128,m15,1,,,1.3649088208617302,1.3650331627190577,1.3652004969724176,0,0
287,202507041945,1.36505,1.36451,1.36482,1.36496,8235,m15,1,,,1.3649030904835278,1.3650248033138646,1.3651929385660952,0,0
288,202507042000,1.36563,1.3646,1.36521,1.36482,16654,m15,1,,,1.3649228910975781,1.3650320659981874,1.3651932774628255,0,0
289,202507042015,1.36555,1.3648,1.36497,1.36521,20286,m15,1,,,1.3649259303816175,1.3650296320151984,1.3651888427030454,0,0
290,202507042030,1.36514,1.36423,1.36444,1.36497,23866,m15,1,,,1.3648945800342995,1.3650065089877519,1.365173970006941,0,0
291,202507042045,1.36468,1.36349,1.36385,1.36444,11761,m15,1,,,1.364827187773787,1.364961155310958,1.3651476763097419,0,0
292,202507061915,1.36385,1.36265,1.36297,1.36385,36,m15,1,1.0,,1.3647073692073453,1.3648830701551506,1.3651044307269684,0,-1
