,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,value1,peaks_min,peaks_max,trend,trend_line,ema_short,ema_long,rsi,buy,sell
411,202507021550,1.17875,1.1784,1.1784999999999999,1.1786,920,m5,1,,,1,1.1784099999999975,1.177990382790971,1.1774693624035117,84.30851063829135,0,0
412,202507021555,1.17898,1.17825,1.17893,1.1784999999999999,1779,m5,1,,,1,1.1785739999999976,1.1781612222835218,1.1776084707460344,90.68010075566349,0,0
413,202507021600,1.17897,1.17854,1.17869,1.17893,1349,m5,1,,,1,1.1786379999999974,1.178257363686518,1.1777114735321264,85.15815085157793,0,0
414,202507021605,1.17937,1.17858,1.17936,1.17869,1371,m5,1,,1.0,1,1.1788159999999974,1.1784578430162418,1.1778684760528761,84.11458333332968,-1,1
415,202507021610,1.1794,1.17869,1.17874,1.17936,1278,m5,1,,,1,1.1788439999999976,1.178509144286016,1.1779514783335545,71.05882352940864,0,0
416,202507021615,1.17914,1.1786699999999999,1.17895,1.17874,1213,m5,1,,,1,1.1789339999999975,1.1785892998703769,1.1780465756351206,73.07692307692076,0,0
417,202507021620,1.17923,1.17869,1.17894,1.17895,1280,m5,1,,,1,1.1789359999999973,1.1786530635303083,1.178131663669871,66.29213483146032,0,0
418,202507021625,1.17902,1.17869,1.17878,1.17894,1057,m5,1,,,1,1.1789539999999974,1.178676142888434,1.1781934099870262,62.22222222222044,0,0
419,202507021630,1.17914,1.17869,1.17887,1.17878,1126,m5,1,,,1,1.1788559999999975,1.1787113896359915,1.178257847131119,67.34104046242561,0,0
420,202507021635,1.17895,1.17876,1.17876,1.17887,620,m5,1,,,1,1.1788599999999974,1.1787202278839932,1.1783056712138695,61.96319018404653,0,0
421,202507021640,1.17897,1.17865,1.17865,1.17876,703,m5,1,1.0,,1,1.1787999999999976,1.1787074591778128,1.1783384644315962,58.33333333333104,1,-1
422,202507021645,1.17891,1.17856,1.17871,1.17865,845,m5,1,,,1,1.1787539999999974,1.1787079211454832,1.1783738487714441,55.592105263156505,0,0
423,202507021650,1.17885,1.17859,1.17885,1.17871,896,m5,1,,,1,1.1787679999999976,1.1787337536644862,1.178419196507497,56.16883116883021,0,0
424,202507021655,1.17896,1.17876,1.17883,1.17885,722,m5,1,,,1,1.1787599999999976,1.1787512529982158,1.1784583206496402,53.87205387205231,0,0
425,202507021700,1.17957,1.17883,1.17956,1.17883,1167,m5,1,,,1,1.1789199999999975,1.1788982979076312,1.1785632424925316,64.72222222222197,0,0
426,202507021705,1.17995,1.17953,1.17971,1.17956,1024,m5,1,,,1,1.1791319999999976,1.1790458801062438,1.178672457493243,61.746987951806524,0,0
427,202507021710,1.1798899999999999,1.17964,1.17986,1.17971,550,m5,1,,,1,1.1793619999999976,1.1791939019051085,1.1787855567796008,68.1114551083571,0,0
428,202507021715,1.18002,1.17966,1.17988,1.17986,827,m5,1,,1.0,1,1.1795679999999975,1.1793186470132706,1.178889789467258,60.07751937984546,-1,1
429,202507021720,1.17988,1.17927,1.17931,1.17988,934,m5,1,,,1,1.1796639999999976,1.1793170748290396,1.1789298095179952,61.2648221343903,0,0
430,202507021725,1.17934,1.17904,1.17932,1.17931,757,m5,1,,,1,1.1796159999999976,1.179317606678305,1.1789669705162815,57.939914163089924,0,0
431,202507021730,1.1798,1.17932,1.1797199999999999,1.17932,645,m5,1,,,1,1.1796179999999974,1.1793907691004313,1.179038687609969,64.33823529411333,0,0
432,202507021735,1.17976,1.17955,1.17969,1.1797199999999999,419,m5,1,,,1,1.1795839999999975,1.1794451747185346,1.1791007173614008,67.5675675675678,0,0
433,202507021740,1.17973,1.17954,1.17957,1.17969,513,m5,1,,,1,1.1795219999999975,1.1794678702242556,1.179145410946029,63.358778625954656,0,0
434,202507021745,1.17991,1.17952,1.17977,1.17957,370,m5,1,,1.0,1,1.1796139999999975,1.1795228029107545,1.1792048956178358,68.63468634686578,0,0
435,202507021750,1.17977,1.1794499999999999,1.17952,1.17977,507,m5,1,,,1,1.1796539999999975,1.1795222932906173,1.1792349055589944,65.26315789473783,0,0
436,202507021755,1.17971,1.17949,1.17953,1.17952,791,m5,1,,,1,1.1796159999999976,1.179523694510505,1.1792630097914711,64.64285714285953,0,0
437,202507021800,1.17961,1.17933,1.17957,1.17953,531,m5,1,,,1,1.1795919999999975,1.179532113690413,1.1792922469541882,63.3333333333358,0,0
438,202507021805,1.17965,1.17938,1.1794,1.17957,401,m5,1,1.0,,1,1.1795579999999977,1.179508093019429,1.1793025091490272,60.0,1,-1
439,202507021810,1.17971,1.17937,1.1797,1.1794,411,m5,1,,,1,1.1795439999999977,1.1795429851977146,1.1793403654205485,52.89256198347183,0,0
440,202507021815,1.1797,1.17939,1.1794499999999999,1.1797,639,m5,1,,,1,1.1795299999999977,1.17952607879813,1.1793508068090677,44.841269841266595,0,0
441,202507021820,1.17978,1.17942,1.17966,1.1794499999999999,672,m5,1,,,1,1.1795559999999978,1.179550428107561,1.1793802537796325,46.1240310077524,0,0
442,202507021825,1.17982,1.17965,1.1798,1.17966,460,m5,1,,,1,1.1796019999999978,1.1795958048152773,1.1794202296101437,48.518518518517,0,0
443,202507021830,1.17999,1.1798,1.17995,1.1798,586,m5,1,,,1,1.1797119999999979,1.1796602039397723,1.1794706839329872,64.03508771929731,0,0
444,202507021835,1.17996,1.17976,1.17977,1.17995,597,m5,1,,,1,1.1797259999999976,1.1796801668598138,1.1794991902250835,59.183673469387934,0,0
445,202507021840,1.17999,1.17974,1.17997,1.17977,649,m5,1,,1.0,1,1.1798299999999977,1.1797328637943931,1.179544029251266,55.55555555555666,-1,1
446,202507021845,1.17998,1.17975,1.17976,1.17997,577,m5,1,,,1,1.1798499999999976,1.1797377976499581,1.1795645978940026,51.440329218107074,0,0
447,202507021850,1.17997,1.1797,1.17976,1.17976,778,m5,1,,,1,1.1798419999999976,1.1797418344408748,1.1795832076183832,54.11255411255137,0,0
448,202507021855,1.17999,1.17955,1.17995,1.17976,1042,m5,1,,,1,1.1798419999999976,1.179779682724352,1.179618140226156,53.91304347826129,0,0
449,202507021900,1.17998,1.17974,1.17985,1.17995,674,m5,1,,,1,1.1798579999999976,1.179792467683561,1.1796402221093794,57.674418604653034,0,0
450,202507021905,1.17992,1.17971,1.1797199999999999,1.17985,495,m5,1,,,1,1.1798079999999975,1.1797792917410954,1.1796478200037241,54.18502202642857,0,0
451,202507021910,1.17988,1.17969,1.17973,1.1797199999999999,364,m5,1,,,1,1.1798019999999976,1.1797703296063509,1.179655646670036,53.57142857142609,0,0
452,202507021915,1.17979,1.17951,1.17979,1.17973,367,m5,1,,,1,1.1798079999999975,1.1797739060415597,1.1796684422252708,59.154929577459505,0,0
453,202507021920,1.17988,1.17965,1.17967,1.17979,530,m5,1,,,1,1.1797519999999975,1.1797550140340034,1.1796685905847688,49.23076923077011,0,0
454,202507021925,1.17976,1.17967,1.1797,1.17967,599,m5,1,,,1,1.1797219999999975,1.1797450114823664,1.179671581957648,57.225433526012075,0,0
455,202507021930,1.17995,1.17968,1.1799,1.1797,482,m5,1,,,1,1.1797579999999974,1.1797731912128453,1.1796933360569195,56.976744186045465,0,0
456,202507021935,1.1799,1.17963,1.17982,1.1799,672,m5,1,,,1,1.1797759999999975,1.179781701901419,1.1797053992895938,50.602409638558086,0,0
457,202507021940,1.17982,1.17967,1.17967,1.17982,474,m5,1,,,1,1.1797519999999975,1.1797613924647972,1.17970202792868,41.56626506024032,0,0
458,202507021945,1.17981,1.17965,1.17977,1.17967,506,m5,1,,,1,1.1797719999999976,1.1797629574711979,1.1797085014592819,50.0,0,0
459,202507021950,1.1800599999999999,1.17976,1.18004,1.17977,482,m5,1,,,1,1.1798399999999976,1.179813328840071,1.179740072748874,52.12121212121237,0,0
