,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,value1,peaks_min,peaks_max,ema_10,ema_18,peaks_min_ema_10,peaks_max_ema_10,peaks_min_ema_18,peaks_max_ema_18,trade_open_zone,centro_picos_max_suave,centro_picos_min_suave,centro_picos_max_trend,centro_picos_min_trend,signal,last_min_trend_marker,last_max_trend_marker
0,202507101420,171.35399999999998,171.24599999999998,171.279,171.319,3266,m5,1,0,0,171.279,171.279,0,0,0,0,0,171.85944381270906,170.91600000000005,,,0,,
1,202507101425,171.304,171.16799999999998,171.218,171.279,3375,m5,1,0,0,171.2679090909091,171.27257894736843,0,0,0,0,0,171.85975405196814,170.91600000000005,,,0,,
2,202507101430,171.278,171.213,171.255,171.218,2745,m5,1,0,0,171.26556198347106,171.27072853185598,0,0,0,0,0,171.86006540319588,170.91600000000005,,,0,,
3,202507101435,171.291,171.23499999999999,171.265,171.255,2467,m5,1,0,0,171.26545980465812,171.27012552850272,0,0,0,0,0,171.86037774725278,170.91600000000008,,,0,,
4,202507101440,171.279,171.24099999999999,171.261,171.265,2216,m5,1,0,0,171.2646489310839,171.26916494655507,0,0,0,0,0,171.86069098143236,170.91600000000008,,,0,,
5,202507101445,171.31,171.243,171.298,171.261,2334,m5,1,0,1,171.2707127617959,171.27220021533876,0,0,0,0,0,171.86100501672243,170.91600000000008,,,0,,
6,202507101450,171.304,171.167,171.185,171.298,2612,m5,1,0,0,171.25512862328753,171.2630212453031,0,0,0,0,0,171.86131977559606,170.91600000000008,,,0,,
7,202507101455,171.185,171.05599999999998,171.12699999999998,171.185,4391,m5,1,0,0,171.23183250996252,171.2487032194817,0,0,0,0,0,171.86163519021738,170.91600000000008,,,0,,
8,202507101500,171.158,171.089,171.10899999999998,171.12699999999998,3563,m5,1,0,0,171.20949932633295,171.23399761743102,0,0,0,0,0,171.86195120097295,170.91600000000008,,,0,,
9,202507101505,171.16799999999998,171.108,171.137,171.10899999999998,2366,m5,1,0,0,171.19631763063603,171.22378734191196,0,0,0,0,0,171.86226775526265,170.91600000000008,,,0,,
10,202507101510,171.148,171.077,171.099,171.137,1481,m5,1,0,0,171.17862351597492,171.21065183223703,0,0,0,0,0,171.86258480649786,170.91600000000008,,,0,,
11,202507101515,171.125,171.09,171.124,171.099,1159,m5,1,0,0,171.16869196761584,171.2015305867384,0,0,0,0,0,171.86290231326646,170.91600000000008,,,0,,
12,202507101520,171.13,171.09699999999998,171.124,171.124,1831,m5,1,0,0,171.16056615532204,171.19336947234487,0,0,0,0,0,171.86322023863332,170.91600000000008,,,0,,
13,202507101525,171.13,171.07299999999998,171.07999999999998,171.124,2106,m5,1,0,0,171.14591776344528,171.18143584367698,0,0,0,0,0,171.86353854955115,170.91600000000008,,,0,,
14,202507101530,171.107,171.07,171.09099999999998,171.07999999999998,2387,m5,1,0,0,171.13593271554612,171.17191628118468,0,0,0,0,0,171.86385721636225,170.9160000000001,,,0,,
15,202507101535,171.118,171.081,171.11599999999999,171.09099999999998,1738,m5,1,0,0,171.13230858544682,171.16603035684943,0,0,0,0,0,171.86417621237462,170.9160000000001,,,0,,
16,202507101540,171.202,171.108,171.19799999999998,171.11599999999999,1665,m5,1,0,0,171.14425247900195,171.16939558244422,0,0,0,0,0,171.86449551350032,170.9160000000001,,,0,,
17,202507101545,171.242,171.191,171.194,171.19799999999998,1824,m5,1,0,0,171.15329748281977,171.1719855211343,0,0,0,0,0,171.86481509794555,170.9160000000001,,,0,,
18,202507101550,171.206,171.147,171.164,171.194,1686,m5,1,0,0,171.15524339503435,171.1711449399623,0,0,0,0,0,171.86513494594388,170.9160000000001,,,0,,
19,202507101555,171.19,171.14499999999998,171.17999999999998,171.164,1773,m5,1,0,0,171.15974459593718,171.1720770515452,0,0,0,0,0,171.86545503952573,170.9160000000001,,,0,,
20,202507101600,171.17999999999998,171.132,171.13799999999998,171.17999999999998,1655,m5,1,0,0,171.1557910330395,171.1684899934878,0,0,0,0,0,171.86577536231886,170.9160000000001,,,0,,
21,202507101605,171.149,171.117,171.117,171.13799999999998,1072,m5,1,0,0,171.1487381179414,171.1630699941733,0,0,0,0,0,171.86609589937476,170.9160000000001,,,0,,
22,202507101610,171.126,171.09699999999998,171.10399999999998,171.117,1229,m5,1,0,0,171.14060391467933,171.1568521000498,0,0,0,0,0,171.86641663701704,170.9160000000001,,,0,,
23,202507101615,171.137,171.101,171.12,171.10399999999998,1277,m5,1,0,0,171.136857748374,171.1529729316235,0,0,0,0,0,171.86673756270906,170.91600000000008,,,0,,
24,202507101620,171.14,171.083,171.134,171.12,1343,m5,1,0,0,171.13633815776055,171.1509757809263,0,0,0,0,0,171.86705866493756,170.91600000000008,,,0,,
25,202507101625,171.188,171.13,171.188,171.134,1723,m5,1,0,0,171.1457312199859,171.15487306714456,0,0,0,0,0,171.86737993311039,170.91600000000005,,,0,,
26,202507101630,171.20499999999998,171.165,171.182,171.188,1616,m5,1,0,0,171.1523255436248,171.15772853376095,0,0,0,0,0,171.86796538461542,170.91600000000005,,,0,,
27,202507101635,171.188,171.147,171.148,171.182,1472,m5,1,0,0,171.15153908114758,171.1567044775756,0,0,0,0,0,171.86856384615388,170.91600000000005,,,0,,
28,202507101640,171.158,171.12199999999999,171.13899999999998,171.148,1631,m5,1,0,0,171.14925924821165,171.1548408483571,0,0,0,0,0,171.8691753177258,170.91600000000005,,,0,,
29,202507101645,171.14999999999998,171.11599999999999,171.125,171.13899999999998,1184,m5,1,0,0,171.14484847580954,171.15169970642478,0,0,0,0,0,171.86979979933116,170.91600000000005,,,0,,
30,202507101650,171.16199999999998,171.117,171.158,171.125,1464,m5,1,0,0,171.14723966202598,171.15236289522218,0,0,0,0,0,171.87043729096996,170.91600000000005,,,0,,
31,202507101655,171.196,171.137,171.14999999999998,171.158,1735,m5,1,0,0,171.1477415416576,171.15211416940932,0,0,0,0,0,171.87108779264221,170.91606149253738,,,0,,
32,202507101700,171.159,171.13,171.13799999999998,171.14999999999998,1391,m5,1,0,0,171.1459703522653,171.15062846736623,0,0,0,0,0,171.8717382943144,170.916184477612,,,0,,
33,202507101705,171.15099999999998,171.12099999999998,171.12199999999999,171.13799999999998,990,m5,1,0,0,171.14161210639887,171.14761494448558,0,0,0,0,0,171.87238879598667,170.91636895522396,,,0,,
34,202507101710,171.123,171.076,171.09099999999998,171.12199999999999,957,m5,1,0,0,171.13240990523542,171.141655476645,0,0,0,0,0,171.87303929765892,170.9166149253732,,,0,,
