,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,value1,peaks_min,peaks_max,ema_10,ema_18,peaks_min_ema_10,peaks_max_ema_10,peaks_min_ema_18,peaks_max_ema_18,trade_open_zone,centro_picos_max_suave,centro_picos_min_suave,centro_picos_max_trend,centro_picos_min_trend,signal,last_min_trend_marker,last_max_trend_marker
0,202507101420,96.09100000000001,96.03800000000001,96.045,96.074,2076,m5,1,0,0,96.045,96.045,0,0,0,0,0,96.91849999999998,96.29549999999999,,,0,,
1,202507101425,96.06700000000001,96.016,96.04700000000001,96.045,2089,m5,1,0,0,96.04536363636363,96.0452105263158,0,0,0,0,0,96.91849999999998,96.2955,,,0,,
2,202507101430,96.077,96.03500000000001,96.07000000000001,96.04700000000001,1480,m5,1,0,0,96.0498429752066,96.04781994459834,0,0,0,0,0,96.91849999999997,96.2955,,,0,,
3,202507101435,96.12100000000001,96.06400000000001,96.11800000000001,96.07000000000001,1438,m5,1,0,0,96.06223516153267,96.05520731885116,0,0,0,0,0,96.91849999999997,96.29550000000002,,,0,,
4,202507101440,96.14,96.111,96.119,96.11800000000001,1331,m5,1,0,0,96.07255604125399,96.06192233791946,0,0,0,0,0,96.91849999999995,96.29550000000002,,,0,,
5,202507101445,96.141,96.111,96.13000000000001,96.119,1493,m5,1,0,0,96.08300039738963,96.06908840761214,0,0,0,0,0,96.91849999999995,96.29550000000002,,,0,,
6,202507101450,96.14800000000001,96.061,96.066,96.13000000000001,1544,m5,1,0,0,96.07990941604605,96.06876331207403,0,0,0,0,0,96.91849999999994,96.29550000000003,,,0,,
7,202507101455,96.08500000000001,96.042,96.084,96.066,2405,m5,1,0,0,96.08065315858313,96.07036717396097,0,0,0,0,0,96.91849999999994,96.29550000000003,,,0,,
8,202507101500,96.089,96.06200000000001,96.08500000000001,96.084,1822,m5,1,0,0,96.08144349338619,96.07190747143876,0,0,0,0,0,96.91849999999994,96.29550000000003,,,0,,
9,202507101505,96.134,96.08200000000001,96.11800000000001,96.08500000000001,1772,m5,1,0,0,96.08809013095232,96.07675931655048,0,0,0,0,0,96.91849999999992,96.29550000000005,,,0,,
10,202507101510,96.12700000000001,96.08,96.11,96.11800000000001,1202,m5,1,0,0,96.09207374350643,96.08025833586096,0,0,0,0,0,96.91849999999992,96.29550000000005,,,0,,
11,202507101515,96.119,96.084,96.09100000000001,96.11,999,m5,1,0,0,96.09187851741436,96.08138903734928,0,0,0,0,0,96.91849999999992,96.29550000000005,,,0,,
12,202507101520,96.108,96.083,96.08500000000001,96.09100000000001,1020,m5,1,0,0,96.09062787788447,96.08176913868094,0,0,0,0,0,96.91849999999991,96.29550000000005,,,0,,
13,202507101525,96.11500000000001,96.08,96.11500000000001,96.08500000000001,1112,m5,1,0,0,96.09505917281456,96.08526712408295,0,0,0,0,0,96.91849999999991,96.29550000000006,,,0,,
14,202507101530,96.20100000000001,96.11500000000001,96.188,96.11500000000001,1576,m5,1,0,0,96.11195750503009,96.09608111102159,0,0,0,0,0,96.91849999999991,96.29550000000006,,,0,,
15,202507101535,96.218,96.174,96.212,96.188,1369,m5,1,0,0,96.13014704957007,96.10828309933511,0,0,0,0,0,96.91849999999991,96.29550000000006,,,0,,
16,202507101540,96.25200000000001,96.19800000000001,96.24900000000001,96.212,1191,m5,1,0,0,96.15175667692097,96.12309540466825,0,0,0,0,0,96.9184999999999,96.29550000000006,,,0,,
17,202507101545,96.281,96.247,96.25200000000001,96.24900000000001,1106,m5,1,0,0,96.16998273566261,96.13666430944001,0,0,0,0,0,96.9184999999999,96.29550000000006,,,0,,
