timestamp,trade_id,instrument,side,open_price,current_price,current_pips,max_pips,action,details
2025-09-25T07:49:00.609165+01:00,69090536,USD/JPY,B,148.805,148.789,-1.6,-1.6,NEW_HIGH,New pip high reached: -1.6 (previous max: -2.9)
2025-09-25T07:49:00.612686+01:00,69090532,GBP/USD,S,1.34584,1.34605,-2.1,-2.1,AUTO_CLOSE,Auto-closed due to pip decline from 3.1 to -2.1 (Success: True)
2025-09-25T07:50:00.114074+01:00,69090536,USD/JPY,B,148.805,148.791,-1.4,-1.4,NEW_HIGH,New pip high reached: -1.4 (previous max: -1.6)
2025-09-25T07:51:00.630647+01:00,69090536,USD/JPY,B,148.805,148.79299999999998,-1.2,-1.2,NEW_HIGH,New pip high reached: -1.2 (previous max: -1.4)
2025-09-25T07:52:00.179533+01:00,69090538,GBP/USD,S,1.34591,1.34602,-1.1,-1.1,TRACK_START,Started tracking trade - Initial pips: -1.1
2025-09-25T07:52:00.181559+01:00,69090536,USD/JPY,B,148.805,148.78,-2.5,-1.2,DECLINING,"Pips declining: -2.5 (max was: -1.2, declining count: 1)"
2025-09-25T07:53:00.673497+01:00,69090538,GBP/USD,S,1.34591,1.34617,-2.6,-1.1,DECLINING,"Pips declining: -2.6 (max was: -1.1, declining count: 1)"
2025-09-25T07:53:00.674496+01:00,69090536,USD/JPY,B,148.805,148.761,-4.4,-1.2,DECLINING,"Pips declining: -4.4 (max was: -1.2, declining count: 2)"
2025-09-25T07:54:00.196924+01:00,69090538,GBP/USD,S,1.34591,1.34653,-6.2,-1.1,DECLINING,"Pips declining: -6.2 (max was: -1.1, declining count: 2)"
2025-09-25T07:54:00.198911+01:00,69090536,USD/JPY,B,148.805,148.742,-6.3,-1.2,DECLINING,"Pips declining: -6.3 (max was: -1.2, declining count: 3)"
2025-09-25T07:55:00.713664+01:00,69090538,GBP/USD,S,1.34591,1.34655,-6.4,-1.1,DECLINING,"Pips declining: -6.4 (max was: -1.1, declining count: 3)"
2025-09-25T07:55:00.714943+01:00,69090536,USD/JPY,B,148.805,148.754,-5.1,-1.2,MONITOR,"Monitoring - Current: -5.1, Max: -1.2"
2025-09-25T07:56:00.218295+01:00,69090538,GBP/USD,S,1.34591,1.34643,-5.2,-1.1,MONITOR,"Monitoring - Current: -5.2, Max: -1.1"
2025-09-25T07:56:00.220286+01:00,69090536,USD/JPY,B,148.805,148.77599999999998,-2.9,-1.2,MONITOR,"Monitoring - Current: -2.9, Max: -1.2"
2025-09-25T07:57:00.730317+01:00,69090538,GBP/USD,S,1.34591,1.34646,-5.5,-1.1,DECLINING,"Pips declining: -5.5 (max was: -1.1, declining count: 1)"
2025-09-25T07:57:00.731669+01:00,69090536,USD/JPY,B,148.805,148.78799999999998,-1.7,-1.2,MONITOR,"Monitoring - Current: -1.7, Max: -1.2"
2025-09-25T07:58:00.243431+01:00,69090538,GBP/USD,S,1.34591,1.34649,-5.8,-1.1,DECLINING,"Pips declining: -5.8 (max was: -1.1, declining count: 2)"
2025-09-25T07:58:00.243431+01:00,69090536,USD/JPY,B,148.805,148.773,-3.2,-1.2,DECLINING,"Pips declining: -3.2 (max was: -1.2, declining count: 1)"
2025-09-25T07:59:00.777833+01:00,69090538,GBP/USD,S,1.34591,1.34649,-5.8,-1.1,MONITOR,"Monitoring - Current: -5.8, Max: -1.1"
2025-09-25T07:59:00.779813+01:00,69090536,USD/JPY,B,148.805,148.78099999999998,-2.4,-1.2,MONITOR,"Monitoring - Current: -2.4, Max: -1.2"
2025-09-25T08:00:00.222893+01:00,69090538,GBP/USD,S,1.34591,1.3464800000000001,-5.7,-1.1,MONITOR,"Monitoring - Current: -5.7, Max: -1.1"
2025-09-25T08:00:00.225890+01:00,69090536,USD/JPY,B,148.805,148.784,-2.1,-1.2,MONITOR,"Monitoring - Current: -2.1, Max: -1.2"
2025-09-25T08:01:00.707280+01:00,69090538,GBP/USD,S,1.34591,1.34628,-3.7,-1.1,MONITOR,"Monitoring - Current: -3.7, Max: -1.1"
