timestamp,instrument,timeframe,action,side,price,signal_date,details
2025-09-25T01:03:13.306064+01:00,EUR/USD,m1,OPEN,B,1.17421,202509242359,BUY signal
2025-09-25T01:04:05.048068+01:00,GBP/USD,m1,OPEN,B,1.34493,202509242359,BUY signal
2025-09-25T01:04:07.869924+01:00,EUR/USD,m1,OPEN,B,1.17421,202509242359,BUY signal
2025-09-25T01:05:05.095513+01:00,GBP/USD,m1,OPEN,B,1.34493,202509242359,BUY signal
2025-09-25T01:05:06.642818+01:00,EUR/USD,m1,OPEN,B,1.17421,202509242359,BUY signal
2025-09-25T01:06:04.060041+01:00,GBP/USD,m1,OPEN,B,1.34493,202509242359,BUY signal
2025-09-25T01:06:05.698988+01:00,EUR/USD,m1,OPEN,B,1.17421,202509242359,BUY signal
2025-09-25T01:14:05.912298+01:00,EUR/USD,m1,OPEN,B,1.17417,202509250012,BUY signal
2025-09-25T01:15:04.361541+01:00,EUR/USD,m1,OPEN,B,1.17417,202509250012,BUY signal
2025-09-25T01:20:04.850609+01:00,EUR/USD,m1,OPEN,B,1.1741,202509250017,BUY signal
2025-09-25T01:21:04.307023+01:00,EUR/USD,m1,OPEN,B,1.1741,202509250017,BUY signal
2025-09-25T01:24:04.088870+01:00,EUR/USD,m1,OPEN,B,1.17408,202509250021,BUY signal
2025-09-25T01:25:05.028745+01:00,EUR/USD,m1,OPEN,B,1.17408,202509250021,BUY signal
2025-09-25T01:26:06.438388+01:00,EUR/USD,m1,OPEN,B,1.17408,202509250021,BUY signal
2025-09-25T01:27:08.026571+01:00,EUR/USD,m1,OPEN,B,1.17408,202509250021,BUY signal
2025-09-25T01:28:09.545619+01:00,EUR/USD,m1,OPEN,B,1.17408,202509250021,BUY signal
2025-09-25T02:22:06.526984+01:00,USD/JPY,m1,OPEN,S,148.7,202509250120,SELL signal
2025-09-25T02:23:04.588972+01:00,EUR/USD,m1,OPEN,B,1.17419,202509250120,BUY signal
2025-09-25T02:23:06.064958+01:00,USD/JPY,m1,OPEN,S,148.7,202509250120,SELL signal
2025-09-25T02:23:06.404112+01:00,GBP/USD,m1,OPEN,B,1.34499,202509250120,BUY signal
2025-09-25T02:24:04.233985+01:00,EUR/USD,m1,OPEN,B,1.17419,202509250120,BUY signal
2025-09-25T02:24:04.647888+01:00,USD/JPY,m1,OPEN,S,148.7,202509250120,SELL signal
2025-09-25T02:24:06.981996+01:00,GBP/USD,m1,OPEN,B,1.34499,202509250120,BUY signal
2025-09-25T02:25:03.839451+01:00,USD/JPY,m1,OPEN,S,148.7,202509250120,SELL signal
2025-09-25T02:25:04.285352+01:00,GBP/USD,m1,OPEN,B,1.34499,202509250120,BUY signal
2025-09-25T02:25:04.517004+01:00,EUR/USD,m1,OPEN,B,1.17419,202509250120,BUY signal
2025-09-25T02:26:03.665662+01:00,EUR/USD,m1,OPEN,B,1.17419,202509250120,BUY signal
2025-09-25T02:26:05.008002+01:00,GBP/USD,m1,OPEN,B,1.34499,202509250120,BUY signal
2025-09-25T02:27:04.856694+01:00,EUR/USD,m1,OPEN,B,1.17419,202509250120,BUY signal
2025-09-25T02:31:04.741177+01:00,USD/JPY,m1,OPEN,S,148.744,202509250128,SELL signal
2025-09-25T02:32:04.660016+01:00,USD/JPY,m1,OPEN,S,148.744,202509250128,SELL signal
