,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,ema_200,ema_100,ema_80,peaks_min,peaks_max,median_max,median_min,channel_width_pips,channel_breakout_up,channel_breakout_down,signal,valid_signal
0,202509261309,0.65442,0.65426,0.65427,0.65428,248,m1,0.65427,0.65427,0.65427,0,0,0.65427,0.65427,0.0,0,0,0,0
1,202509261310,0.65438,0.65424,0.65428,0.65427,206,m1,0.6542700995024876,0.654270198019802,0.6542702469135803,0,1,0.6542700995024876,0.6542702469135803,0.0,1,0,1,1
2,202509261311,0.65432,0.6541399999999999,0.6541399999999999,0.65428,151,m1,0.6542688049800748,0.654267619841192,0.6542670309404055,0,0,0.6542688049800748,0.6542670309404055,0.0,0,1,-1,-1
3,202509261312,0.6542,0.6541,0.6541899999999999,0.6541399999999999,182,m1,0.6542680208509198,0.6542660828146336,0.6542651289418769,0,0,0.6542680208509198,0.6542651289418769,0.0,0,1,-1,-1
4,202509261313,0.65423,0.65413,0.65418,0.6541899999999999,220,m1,0.6542671450215575,0.6542643782044428,0.6542630269926948,0,0,0.6542671450215575,0.6542630269926948,0.0,0,1,-1,-1
5,202509261314,0.65423,0.6541399999999999,0.65418,0.65418,162,m1,0.6542662779069152,0.6542627073489093,0.6542609769434925,0,0,0.6542662779069152,0.6542609769434925,0.1,0,1,-1,-1
6,202509261315,0.6543,0.6541399999999999,0.65422,0.65418,289,m1,0.6542658174302295,0.6542618616588319,0.65425996516711,0,0,0.6542658174302295,0.65425996516711,0.1,0,1,-1,-1
7,202509261316,0.65427,0.65412,0.6541399999999999,0.65422,227,m1,0.6542645655155008,0.6542594485566768,0.6542570030642184,0,0,0.6542645655155008,0.6542570030642184,0.1,0,1,-1,-1
8,202509261317,0.6541899999999999,0.6539,0.6539,0.6541399999999999,224,m1,0.6542609379979336,0.6542523307634753,0.6542481881737439,0,0,0.6542609379979336,0.6542481881737439,0.1,0,1,-1,-1
9,202509261318,0.65401,0.6539,0.65398,0.6539,186,m1,0.6542581425949692,0.6542469380750896,0.6542415662435279,0,0,0.6542581425949692,0.6542415662435279,0.2,0,1,-1,-1
10,202509261319,0.654,0.65386,0.6539,0.65398,282,m1,0.654254578987059,0.6542400680141968,0.6542331325091197,0,0,0.654254578987059,0.6542331325091197,0.2,0,1,-1,-1
11,202509261320,0.65394,0.65382,0.65392,0.6539,269,m1,0.6542512498429092,0.6542337300337175,0.6542254008422279,0,0,0.6542512498429092,0.6542254008422279,0.3,0,1,-1,-1
12,202509261321,0.654,0.65382,0.65383,0.65392,280,m1,0.6542470583021838,0.6542257353795845,0.6542156378584691,0,0,0.6542470583021838,0.6542156378584691,0.3,0,1,-1,-1
13,202509261322,0.65389,0.65377,0.65383,0.65383,263,m1,0.6542429084683312,0.6542178990354343,0.6542061159360377,0,0,0.6542429084683312,0.6542061159360377,0.4,0,1,-1,-1
14,202509261323,0.65383,0.65351,0.65357,0.65383,292,m1,0.6542362128616812,0.6542050693515643,0.6541904093697158,0,0,0.6542362128616812,0.6541904093697158,0.5,0,1,-1,-1
15,202509261324,0.65359,0.65348,0.6535299999999999,0.65357,299,m1,0.6542291858680327,0.6541917016416323,0.6541741029655254,0,0,0.6542291858680327,0.6541741029655254,0.6,0,1,-1,-1
16,202509261325,0.65361,0.65343,0.65345,0.6535299999999999,235,m1,0.6542214327748185,0.6541770144804119,0.6541562238799569,0,0,0.6542214327748185,0.6541562238799569,0.7,0,1,-1,-1
17,202509261326,0.65348,0.6533599999999999,0.65337,0.65345,189,m1,0.6542129608069098,0.6541610339956512,0.6541368109446493,0,0,0.6542129608069098,0.6541368109446493,0.8,0,1,-1,-1
18,202509261327,0.6534099999999999,0.65328,0.6533599999999999,0.65337,185,m1,0.6542044736347018,0.6541451719363313,0.6541176304274974,1,0,0.6542044736347018,0.6541176304274974,0.9,0,1,-1,-1
19,202509261328,0.65343,0.65332,0.65339,0.6533599999999999,230,m1,0.6541963694194312,0.654130218036602,0.6540996642441024,0,0,0.6541963694194312,0.6540996642441024,1.0,0,1,-1,-1
20,202509261329,0.65348,0.65334,0.65347,0.65339,259,m1,0.6541891418630189,0.6541171444121148,0.6540841169788159,0,0,0.6541891418630189,0.6540841169788159,1.1,0,1,-1,-1
21,202509261330,0.6535299999999999,0.65333,0.65338,0.65347,301,m1,0.6541810907002028,0.654102547493063,0.6540667313744006,0,0,0.6541810907002028,0.6540667313744006,1.1,0,1,-1,-1
22,202509261331,0.65347,0.65328,0.65347,0.65338,202,m1,0.6541740151708475,0.654090021800131,0.6540519972663907,0,0,0.6541740151708475,0.6540519972663907,1.2,0,1,-1,-1
23,202509261332,0.65359,0.6534099999999999,0.6535799999999999,0.65347,438,m1,0.6541681045721326,0.6540799223585442,0.6540403430128996,0,0,0.6541681045721326,0.6540403430128996,1.3,0,1,-1,-1
24,202509261333,0.6537999999999999,0.65356,0.65379,0.6535799999999999,334,m1,0.654164342337584,0.6540741813217413,0.654034161703939,0,0,0.654164342337584,0.654034161703939,1.3,0,1,-1,-1
25,202509261334,0.65404,0.65379,0.65398,0.65379,411,m1,0.6541625080854688,0.6540723163450731,0.6540328243779158,0,0,0.6541625080854688,0.6540328243779158,1.3,0,1,-1,-1
26,202509261335,0.65421,0.65398,0.65403,0.65398,361,m1,0.6541611895970563,0.6540714783976459,0.6540327546401894,0,0,0.6541611895970563,0.6540327546401894,1.3,0,1,-1,-1
27,202509261336,0.65412,0.6537999999999999,0.65386,0.65403,362,m1,0.6541581926856428,0.6540672907066033,0.654028489093518,0,0,0.6541581926856428,0.654028489093518,1.3,0,1,-1,-1
28,202509261337,0.65386,0.65368,0.65369,0.65386,328,m1,0.6541535340519548,0.6540598196035022,0.6540201313381225,0,0,0.6541535340519548,0.6540201313381225,1.3,0,1,-1,-1
29,202509261338,0.6537499999999999,0.6535299999999999,0.65365,0.65369,383,m1,0.6541485237628806,0.6540517043638289,0.6540109922927368,0,0,0.6541485237628806,0.6540109922927368,1.4,0,1,-1,-1
30,202509261339,0.65393,0.65362,0.65374,0.65365,320,m1,0.6541444588498171,0.6540455320001888,0.654004301125015,0,0,0.6541444588498171,0.654004301125015,1.4,0,1,-1,-1
31,202509261340,0.6539699999999999,0.65366,0.65374,0.65374,408,m1,0.6541404343836498,0.6540394818615712,0.6539977751713109,0,0,0.6541404343836498,0.6539977751713109,1.4,0,1,-1,-1
32,202509261341,0.65393,0.65362,0.65384,0.65374,516,m1,0.6541374449867976,0.6540355317256985,0.6539938794880685,0,0,0.6541374449867976,0.6539938794880685,1.4,0,1,-1,-1
33,202509261342,0.65401,0.65383,0.65398,0.65384,356,m1,0.6541358783700136,0.6540344320875658,0.6539935367846594,0,0,0.6541358783700136,0.6539935367846594,1.4,0,1,-1,-1
